Samples,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
GCDCA,0.04877497302282741,0.07923755957331362,0.1174415229211042,0.0624840311061192,0.1093503308914042,0.08205298426933814,0.08985744049405278,0.040052496781724366,0.1153709254058212,0.07545450870924794,0.08200767731749531
Met_CDCA,0.03845395385525538,0.06012192089717319,0.05559428782101611,0.10613511735835608,0.09846686370311761,0.06823075066968307,0.10340530920555444,0.034948942409095206,0.07106467049879292,0.07632329002695881,0.07127451064450029
Phe_DCA,0.03830023602729441,0.06312119456512554,0.08683060785296003,0.031674813915689146,0.07726678678296145,0.05835128749398296,0.07160458140369488,0.040311551129244234,0.09038926743350022,0.08489449812660227,0.0642744824731055
Phe_CDCA,0.015743645207004636,0.037984838890243025,0.0613296163423486,0.07071791737452401,0.08612252596973904,0.05395508009862438,0.05671869392514494,0.059608099153510834,0.07205789589077338,0.08291221180969367,0.059715052466160656
TLCA,0.05034497710155544,0.03817395468814879,0.05297006115642351,0.07325885469807003,0.068717013440205,0.05801408814706939,0.02581626616333775,0.03397629438372624,0.0328103660933992,0.04398767317752511,0.04780695490494605
GUDCA,0.03609784537823773,0.07410130188589116,0.039626741267786265,0.029080840879388465,0.05834038638905187,0.03658619038228583,0.06431627412481888,0.020172433432831437,0.06358222556468336,0.05299700770793859,0.04749012470129136
Thr_DCA,0.03764298513897684,0.04273343368882368,0.006541520348933347,0.06336640818391268,0.04678484770911444,0.02672718208887218,0.052591217138986644,0.0615473934723204,0.03308044403017524,0.03140069399618584,0.04024161257963013
TCDCA,0.024518544739237,0.027445920108374135,0.08154589916355455,0.02939072622181177,0.06744440130274329,0.021612359158336716,0.012774012745718868,0.012355606291284875,0.07081529241295346,0.04309733461860219,0.03910000967626169
UDCA,0.020995895550266958,0.0347635011409415,0.04581869135297411,-0.027496016197327153,0.07604745532690456,0.03266914166659522,0.011710113898173882,0.01898151834019042,0.03357074878342444,0.005767296930175362,0.02528283467923193
Asn_DCA,0.0017198024082867996,0.03400887521419447,0.020861775214316952,0.029243255094429293,0.041611844724171426,0.03352212250637226,0.034619337090335864,-0.028474420985974323,0.031608059958526814,0.03488292335788328,0.023360357458254283
Tyr_UDCA,-0.046391917994294686,0.004729364759544898,0.02397900128731026,0.016167685940391783,0.030629410201229498,0.046941260192226913,0.07941932631171528,-0.006490199416729645,0.03685283875795996,0.04106727941491688,0.022690404945427112
