Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,His_DCA,LCA,Lys_CDCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Trp_DCA,Tyr_CA,Tyr_UDCA,UDCA,isoCA_aMCA,isoLCA,isoalloLCA
BSH2%UPI00033F049A,1.0,1.0,-1.0,1.0,0.69978255,1.0,-0.87923026,0.661286,-1.0,-1.0,0.8408159,-1.0,-1.0,-0.7193263,1.0,-1.0,1.0,-0.7411176,-0.42152995,1.0,1.0,1.0,-0.23663473,0.1420221,-0.69483644,-0.953493,0.94337094,1.0,-1.0,-1.0,-1.0,0.9769849,-1.0,-1.0,-0.5274883,-1.0,-1.0,0.59715235,-0.93343073,1.0,0.3606951,-1.0,1.0,1.0
BSH2%UPI00038B932A,-0.13990153,0.24588025,-1.0,1.0,-0.6513649,-1.0,-0.12146248,0.056479435,-0.37648684,-1.0,-0.08453995,-0.26830432,-0.26380104,0.9261115,0.56558216,-0.07996996,-1.0,-1.0,0.7544167,0.52301127,0.08542548,-0.25273982,1.0,0.7456202,-0.51903933,0.14319092,-1.0,1.0,-0.42482263,-0.6048896,0.8787507,-0.34257722,-0.85779625,-0.3902008,0.21256155,0.27071846,0.14316429,1.0,-0.9840108,-0.8831351,-0.68426025,-1.0,0.24128331,0.52124137
BSH2%UPI000396CDDF,-1.0,-0.6383541,0.14895174,-0.18440107,1.0,-1.0,0.5154357,-0.7228012,0.66537654,0.35832307,-0.5525996,-0.2834982,-1.0,-0.60338026,0.18101873,-0.8921579,1.0,0.28083333,1.0,-0.101179324,-0.42392954,-0.31573752,-0.31772503,1.0,0.9927425,-0.81747264,0.43925253,0.20009546,0.0672954,-0.7503752,-1.0,0.14987062,1.0,0.4607457,-0.28241742,-0.59838444,-1.0,0.20079236,0.057973698,0.7456222,0.62636876,-0.4342803,-0.26778343,1.0
BSH2%UPI00050FFCF5,-1.0,0.8433952,-1.0,0.5620418,0.12011239,1.0,0.37636772,1.0,-1.0,-1.0,0.48532087,-1.0,-1.0,0.36132693,0.43383914,-1.0,-0.0028446487,0.6682882,1.0,1.0,1.0,0.88219565,-0.42130363,0.9581239,1.0,-0.63154495,-0.4477954,1.0,-1.0,-1.0,-0.43302992,0.032776795,0.0122408895,0.24917334,1.0,-0.0054140394,-0.7590208,-0.15214746,-0.3964853,1.0,-0.91562515,-1.0,0.40015775,-0.041824203
BSH2%UPI0005D317A6,-0.7917412,0.14538209,0.065558925,-0.20654355,-1.0,-1.0,-0.21351863,0.32454848,-0.0841591,-0.3727386,0.55872494,0.10316784,0.16828032,0.8522579,0.345067,0.36949936,-0.7257838,-0.06529165,0.8314868,0.6536814,0.8907297,0.12030856,0.39064696,0.18995263,0.39432567,0.11068564,-0.3156022,0.5518136,-0.27136713,-0.72664773,0.88321066,0.8812904,-0.67475325,-0.11963027,0.6806013,-1.0,-0.5200431,0.53786325,-0.5824593,-0.59917516,-0.18885115,0.25767395,-1.0,-0.620315
BSH2%UPI0005DCCFF2,1.0,1.0,-1.0,1.0,-0.6072028,-1.0,-1.0,-0.2374466,-1.0,-0.7110618,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.5252073,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.20854281,-0.42578936,0.9080457,1.0,-1.0,-1.0,0.9773055,1.0,-1.0,-1.0,0.8320266,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
BSH2%UPI0006BFFEB7,-0.78063726,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-0.7812037,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.21968459,1.0,-1.0,1.0,1.0,-0.6625777,-0.96727705,1.0,1.0,-1.0,-0.64487135,-0.02199478,-1.0,1.0,0.45818177,0.32053828,1.0,-1.0,-1.0
BSH2%UPI0006C0EB58,-1.0,-1.0,0.3656765,-0.3525326,0.8469141,-0.41229036,1.0,-0.31638426,1.0,0.96446896,-1.0,0.5346397,0.13000223,-0.7944513,-1.0,-0.18795393,1.0,0.93801004,0.51830316,-0.33163705,0.22568923,-1.0,-0.4187507,1.0,-0.057838622,0.0011877825,1.0,-0.8182123,0.62850404,0.48541993,-0.19130525,-1.0,0.87930655,1.0,-0.2560037,0.087469414,-0.6815098,-1.0,1.0,-0.43614367,-0.97668797,1.0,-1.0,-0.9121404
BSH2%UPI0006C1ADDE,-0.30914155,-0.57439697,0.9306225,-1.0,1.0,-1.0,-0.06323486,0.27567592,0.51643676,0.77178204,0.37660202,1.0,0.27101368,-0.0011873271,-1.0,0.3898452,0.24489745,-0.62369806,1.0,-0.9770849,-1.0,0.071289346,0.08369663,1.0,-0.14334011,-0.7032925,0.5975161,-0.7098004,1.0,0.91220385,-0.36098683,-1.0,1.0,1.0,-0.08676073,-0.21938851,-1.0,-1.0,0.08465552,0.05950926,0.16454303,0.41177976,-0.3174679,-0.30660838
BSH2%UPI0006C28698,0.1880904,1.0,-1.0,1.0,-0.6651873,-0.06832975,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.36430934,-1.0,-0.5973055,1.0,1.0,1.0,1.0,-1.0,0.9579853,-0.5498376,-0.16008873,1.0,-0.98158,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.6297575,-1.0,0.30322653,0.013945508,-1.0,1.0,1.0
