Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GDCA,GUDCA,LCA,TCDCA,TDCA,TUDCA,UDCA
5AR%GENOME084343_2181,0.05263966,0.051084038,0.024481833,-0.013579624,-0.026675994,0.029780943,0.056188107,-0.001550649,0.04174636,-0.054523263,-0.051685452,-0.08425216,0.0400855
5AR%GENOME086572_2986,0.026825462,-0.02952294,-0.027601497,0.008010165,-0.0010799719,0.008691295,0.001868419,-0.011049189,-0.021982381,-0.03730113,-0.044676233,0.011826393,0.033089064
5AR%GENOME107567_81,-0.08352961,-0.009800109,0.055930033,0.039424635,0.06355835,-0.07249456,-0.08314105,0.06224035,-0.07567594,0.015740478,-0.022158666,0.041469797,0.044439718
5AR%GENOME142018_414,0.04760059,0.06335083,-0.0063962867,-0.020661438,-0.02972642,0.04793572,0.032421697,-0.027923765,0.03459593,-0.048921634,0.055708442,-0.031036621,-0.043941207
5AR%GENOME179594_130,-0.018456709,-0.0038920066,0.011157969,0.05342213,-0.0077753942,-0.010012942,-0.014059796,0.021272633,0.028288893,0.01199147,-0.08526128,0.04525167,-0.012542528
5AR%GENOME179896_434,0.03604865,-0.018830903,-0.0065082484,-0.044557676,-0.0067370282,0.042429663,-0.0047537996,-0.044689115,0.0054208296,-0.01573677,0.08676637,-0.06694518,-0.017267084
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,-0.05270841,0.026453802,0.045303825,0.03233607,0.037669487,-0.049648814,-0.027259808,0.03291527,-0.028768301,0.0004027839,-0.047657564,-0.08259136,0.14225253
5AR%MBD5276024_1_DUF1295_domain-containing_protein__Bacteroides_sp__,0.041986022,0.021794217,0.0010692016,0.042085353,0.0027812822,0.017147481,-0.018002212,0.03428259,0.04161774,-0.0522793,-0.061342303,-0.061173815,-0.006102536
5AR%MBO5195293_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0.012773945,-0.048965767,0.012658567,0.0053722034,-0.023473494,0.009350629,0.05113534,0.06208641,0.011421426,0.029552529,-0.06961178,-0.04994008,-0.08639565
5AR%MBP3601379_1_DUF1295_domain-containing_protein__Alistipes_sp__,0.0698936,0.10736118,-0.053345088,-0.057920385,-0.03690235,0.06856346,0.009294514,-0.07897618,0.013200412,-0.06872036,0.033859164,0.017043551,-0.028769828
5AR%MBR4740186_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,-0.056968916,-0.061234593,0.021503638,0.071343824,0.04597418,-0.047940463,-0.011136293,-0.017850943,-0.04364772,0.04181757,0.0070213065,0.032162014,0.004135021
5AR%MCD7962281_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,-0.0035677608,0.027117323,-0.018185645,-0.032111283,-0.044026244,0.00433236,0.009988129,-0.011973259,-0.0026126804,-0.04384726,0.06502585,0.048311047,-0.037756924
5AR%MCQ2341803_1_DUF1295_domain-containing_protein__Paludibacteraceae_bacterium_,-0.00033620145,0.05232543,0.029256422,-0.00808258,-0.02204669,-0.006325157,-0.083232105,0.03494701,-0.024167944,0.041747294,0.022120526,-0.012428414,0.03757862
5AR%MCR5660240_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0.0042126914,0.060812358,-0.0047487714,-0.0045979177,-0.015400466,0.0028585389,0.04305289,0.01589236,-0.015419644,-0.026481824,-0.013043611,-0.023219151,0.02093457
5AR%WP_035471352_1_MULTISPECIES__DUF1295_domain-containing_protein__Rikenellaceae_,0.005972447,0.04058489,-0.014860335,-0.02523772,-0.014311421,0.0053366823,-0.0010173328,0.026069738,-0.013366245,0.02463471,0.00080816983,0.0009299977,-0.017355284
5AR%WP_282194747_1_DUF1295_domain-containing_protein__Alistipes_ihumii_,0.009474383,-0.056856357,-0.03786325,-0.0196373,-0.0013301506,0.005217737,0.059557024,-0.10025112,-0.0049393275,-0.007991668,0.06996616,0.013791924,0.016419873
