Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GDCA,GUDCA,LCA,TCDCA,TDCA,TUDCA,UDCA
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,-0.3048387,-0.30008167,-0.035660483,-0.09260293,0.53436583,-0.47016978,-0.031017674,0.80897796,-0.77956706,0.37442982,-0.3560091,0.14818214,-0.020362055
7aHSDH%GENOME011662_3430,0.23516741,0.39403373,0.4418591,0.26652452,-0.19244443,0.109590344,0.08385751,-0.07682383,0.2758815,0.24052683,0.10749798,-1.0,0.58080876
7aHSDH%GENOME018142_1887,-0.50609565,0.9816359,0.0761612,0.03704863,0.58850855,-0.58811074,-0.6881212,0.33592606,-0.08003633,0.17087981,-0.6537328,-0.07020177,0.2930385
7aHSDH%GENOME025100_397,-0.6328486,-0.7139113,0.6750251,0.74123573,0.92794394,-0.94189775,-0.38031763,0.57797277,-1.0,0.7035978,-0.9953053,0.3628339,0.34470984
7aHSDH%GENOME067790_2714,-0.15340425,0.5156446,-0.37094736,-0.36747476,-0.2121328,-0.19414523,-0.03676214,0.7513633,1.0,-0.17023377,-0.37998563,-0.26650736,0.51467144
7aHSDH%GENOME070302_884,-0.93561095,0.16721658,0.5961958,0.40441257,0.55918694,-0.9244743,-0.505156,0.13286658,-0.33958703,0.38248318,-0.54616123,0.39932063,0.95673895
7aHSDH%GENOME086444_1757,0.020724608,-0.31133062,0.087761775,-0.07190965,0.095727816,-0.043899424,-0.43397614,0.7727622,0.6110032,-0.3278288,-0.22201511,0.3658325,-0.19317462
7aHSDH%GENOME103762_694,0.677948,0.18476947,-0.75558954,-0.5931306,-0.3993143,0.48772416,0.18107793,0.11263613,0.70250624,-0.5769135,0.5240809,-0.17451142,-0.38410842
7aHSDH%GENOME122758_282,-0.51853627,-1.0,0.64294875,0.66805136,0.7876779,-0.5997418,-0.6495847,0.028177718,-0.7031832,0.18305421,0.17309389,0.5800888,0.060249835
7aHSDH%GENOME215422_1346,-0.5390677,0.02378938,0.13375114,0.019085284,0.864968,-0.25775453,-0.18463819,0.35302237,-0.40968782,0.019905545,-0.24294785,-0.08493398,0.38706487
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,-0.3676181,-0.050191678,0.40889874,0.66395754,0.715231,-0.6412347,-0.96682376,0.7123714,-0.48712015,0.53743935,-0.33554015,-0.28895754,0.35288182
7aHSDH%MCI7810995_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,0.18233858,0.28828275,-0.30083886,-0.088917926,0.01400571,0.17694569,0.016290527,-0.5014549,0.1854513,-0.27431765,0.2504604,-0.0027748381,-0.23464596
7aHSDH%MCI9468093_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.135981,-0.18295622,0.067924045,0.20921049,0.1962865,-0.2526501,-0.18368223,-0.28346714,-0.15027139,0.34095106,-0.51400787,0.43393427,-0.026747104
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,-0.7331968,-0.12111071,0.56283665,0.68420774,0.81528676,-0.71797204,-0.6538606,0.026468612,-1.0,0.48959276,0.0035442337,0.3169886,0.57509285
7aHSDH%WP_071121323_1_7alpha-hydroxysteroid_dehydrogenase__Romboutsia_timonensis_,0.14848192,-0.017911522,-0.6872982,-0.84220994,-0.23504907,0.35944515,-0.13703278,-0.23793748,0.0941343,-0.20482929,0.7707958,0.77844363,-0.38854942
7aHSDH%WP_262434703_1_7alpha-hydroxysteroid_dehydrogenase__Jilunia_laotingensis_,0.1812297,-0.060458377,-0.14153068,-0.38972437,-0.1537027,0.21403818,-0.08184235,-0.32038665,0.16264409,0.050714213,0.37499434,0.38567218,-0.5613698
BSH1%UPI0001652BA3,-0.26636788,-0.31299475,0.22626723,0.20939173,0.27675837,-0.30680403,-0.18140595,0.11928156,-0.4235626,0.20525639,0.11283955,0.5584534,-0.2564539
BSH1%UPI0001DE6025,-0.2730718,0.4787477,0.3914524,0.29603267,0.44084445,-0.23299654,-0.47052628,0.28569055,-0.529547,0.5293713,-0.24479556,-0.4394139,0.42298266
BSH1%UPI0002624191,-0.46991053,-0.9995931,0.36734742,0.43526217,1.0,-0.50089175,-0.3579874,0.23670809,-0.6642857,0.38254154,0.19675612,0.4065357,-0.593152
BSH1%UPI0002CB0E7D,0.37762812,-0.01950815,-0.44711623,-0.42567483,-0.73658466,0.35747376,1.0,-0.13161527,0.070981696,-0.78603387,-0.15647803,-0.029326309,0.4032809
BSH1%UPI0002F95F26,-0.072128944,-0.21775252,0.079644844,0.24245243,-0.3125143,-0.11918281,-0.46503443,1.0,-0.0044503934,-0.20241477,-0.0099059325,0.55763537,0.004243766
BSH1%UPI000334E1FF,0.0638833,0.34860986,-0.7695583,-0.38749322,-0.22148891,0.058888942,0.33348578,0.4015792,-0.012565474,0.8289604,0.10852958,-0.19336984,0.06870795
BSH1%UPI0003A10C39,0.21835656,0.24604715,-0.64105827,-0.5515997,-0.50231165,0.24934988,0.5983215,-0.71945107,0.26697698,0.5142933,0.42070523,-0.16480152,-0.38908026
BSH1%UPI00044AC395,-0.5367762,0.21563709,0.27288634,0.49423635,0.46008188,-0.55042726,0.23115785,0.24258149,-0.04299184,0.13805977,-1.0,-0.0075607686,0.38293487
BSH1%UPI0004BCDDD9,0.105537176,-0.998877,0.20385838,0.44384927,0.21884425,-0.2404012,-0.1058165,-0.37382987,0.5929207,-0.1331709,-0.83583164,0.67997175,-0.23801292
BSH1%UPI0004D69CD5,-0.09518315,0.09770311,0.39955214,0.35941583,-0.06837336,0.05150038,-0.14904523,-0.6185345,-0.15816444,0.4185839,0.40660244,-0.058643255,-0.24342495
BSH1%UPI0004F8D610,-0.2766146,-0.220036,0.062155586,-0.47020465,-0.22086291,-0.0125282165,-0.01845669,-0.46319106,0.23694783,0.111490525,0.3648467,0.4008433,0.018843967
BSH1%UPI0005DBBD01,0.25105914,0.24955131,-0.41842872,-0.007310444,-0.17104146,0.34663323,0.11030542,-0.22632006,0.45392984,0.42573413,0.18287836,-1.0,-0.06099834
BSH1%UPI00070D1B8F,-0.008835551,-1.0,-0.43569392,-0.10281891,0.3251859,0.048845667,0.12601712,-0.19024506,-0.32527587,-0.037618224,0.2802558,1.0,-0.16932441
BSH1%UPI00073AFD00,-1.0,-0.37509993,1.0,1.0,1.0,-1.0,-1.0,0.68544084,-1.0,1.0,-0.36468196,-0.05102929,0.7953758
BSH1%UPI00076E9CCB,0.3213211,-0.5960145,-0.38762176,-0.30513006,-0.7097454,0.216434,0.84202415,0.4034423,-0.3885787,-0.46778366,0.09146816,0.03356144,0.56654584
BSH1%UPI0007933BD5,-0.053542636,0.106856525,0.526807,0.21554947,0.0398507,0.031191397,0.1683292,-0.35575593,-0.30931357,0.20024347,-0.09317863,-0.69800866,0.047132645
BSH1%UPI00095B1DAC,0.43655995,0.23200485,-0.58629286,-0.17268744,-0.5862533,0.22212237,1.0,0.6335331,-0.10481168,-0.14673164,0.5047104,-0.624153,-0.06749279
BSH1%UPI000BCCCB22,0.25996572,0.058373865,-0.115240484,-0.65194595,-0.4322978,0.2250962,0.927811,0.20727669,0.11019635,0.36844707,-0.12625928,-0.21186322,-0.69359905
BSH1%UPI000BD3EFD5,-0.05419951,-0.3906853,-0.087186724,0.202503,0.1835119,0.09524092,0.11299602,-0.34732035,0.20558198,0.3464191,-0.4142338,-0.3048064,-0.72755563
