Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,LCA,TCA,TCDCA,TDCA,UDCA
7aHSDH%GENOME122758_282,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.7680787,0.042729918,-1.0,-0.053904533,-1.0,1.0,0.259666,0.24728881,0.0013234904
7aHSDH%GENOME215422_1346,-1.0,-0.06335248,0.23020144,-0.07733028,1.0,-0.60060465,0.3990214,1.0,-0.47934324,0.7089153,-0.80153733,0.36158997,0.050181225,-0.6097142,0.69449246
7aHSDH%MBE5948790_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.5963534,0.026054636,0.40868008,-0.10852695,-0.0076487884,-0.5656265,0.50334626,0.2705428,0.25504324,-0.33714455,-0.6121077,0.36721227,1.0,-0.08167086,-0.30696833
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,-0.72753197,-0.12755693,0.701874,1.0,1.0,-1.0,-0.22453506,0.40380093,-1.0,1.0,-0.95617497,0.79821175,0.9915354,-0.6642356,0.5325148
7aHSDH%MCI7810995_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,0.31443754,0.46262977,-0.45510814,-0.017514369,0.041045163,0.33278483,0.24685986,-0.574087,0.07115746,-0.92814845,0.34937316,-0.21178547,-0.5662808,0.49646643,-0.39470914
7aHSDH%MCI9468093_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.23939173,-0.3820505,0.12847191,0.39609852,0.39155167,-0.45699772,0.09037958,-0.07575065,-0.38827595,-0.54772335,-0.31444883,0.30538395,0.65569115,-0.9135847,-0.11502321
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,-1.0,-0.19988662,0.95539784,1.0,1.0,-1.0,0.47236434,0.29748607,-1.0,-0.035971336,-1.0,0.5955036,0.89959514,-0.040030558,0.9760421
7aHSDH%WP_071121323_1_7alpha-hydroxysteroid_dehydrogenase__Romboutsia_timonensis_,0.3972619,0.04306475,-1.0,-1.0,-0.47353086,0.6751859,-1.0,-0.43773952,-0.09151323,-0.41886765,0.253501,-0.014426063,-0.35212246,1.0,-0.6512323
7aHSDH%WP_303013929_1_7alpha-hydroxysteroid_dehydrogenase__uncultured_Bacteroides_sp__,0.35129043,0.7902826,0.28686816,0.4461488,-0.086154364,0.51339245,-1.0,-1.0,-0.26164117,-0.5052686,0.2594112,-0.23563866,-1.0,0.15715048,1.0
7aHSDH%WP_342232791_1_7alpha-hydroxysteroid_dehydrogenase__Pseudoflavonifractor_phocaeensis_,0.11203637,0.24772175,-0.10928067,-0.9509202,-0.76716447,0.061936487,-0.110594235,1.0,0.4513649,-0.46450013,-0.002213303,0.28887808,-1.0,0.13851401,0.21603069
