Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoLCA
BSH2%UPI0006C0EB58,-0.5423593,-0.30377987,-0.14299357,-0.39999256,0.7041489,-0.27936113,0.31712005,0.31825784,-0.32229817,0.17642087,-0.019323053,-0.18823838,-0.5547812,-0.9678675,0.47550234,0.35109726,-0.06925926,0.24946451,-0.25320855,-0.45793444,0.0057867193,0.4352857,-0.30468792,0.8147267,1.0,0.24469468,-0.23816408,0.027369859,0.27094728,0.42387474,-1.0,0.21198207,-0.43225947
BSH2%UPI0006C1ADDE,0.12095134,0.057689436,-0.8813247,0.11455688,0.6917418,1.0,1.0,0.96092117,-0.7411384,-0.8368458,0.2966332,-0.95550716,-1.0,-1.0,1.0,1.0,-0.017271206,0.7816503,0.11559977,-0.13662308,-0.9486633,0.112011984,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.6599248,1.0,0.058848504,0.32659137,-0.2851814
BSH2%UPI0006C23C60,0.79023933,0.7821773,-0.5619224,1.0,-0.7495804,-0.91120523,-1.0,0.94902396,-1.0,-0.6464946,0.76250887,0.2326251,1.0,-1.0,-0.24434951,-1.0,-1.0,1.0,0.94006485,0.42721805,0.24372506,1.0,-1.0,-1.0,0.33633745,-0.79640305,0.36764714,0.7577565,0.6323564,0.4014512,0.25039846,0.5960709,1.0
BSH2%UPI0006C28698,-0.46868694,-0.5093655,0.3541896,-0.16630994,0.06011617,0.085322745,-0.5246711,0.4314896,0.06608673,-0.08052372,0.14577328,1.0,0.3078432,1.0,0.04408658,0.543944,-0.43938184,0.5631428,-0.2483708,-1.0,-1.0,-1.0,0.96998847,1.0,1.0,-0.9865505,-1.0,-0.7297287,0.37643674,-0.8028302,-0.57761616,0.04050127,-0.3452954
BSH2%UPI0006C3C90B,-0.70886874,-0.4787491,0.35780722,-1.0,1.0,-0.7778223,0.6016375,-1.0,0.9012338,1.0,-0.05815909,-0.5712999,-0.91798353,-0.20662561,0.43215346,0.72559214,0.71680546,-0.92769134,-0.34649262,0.42108843,0.8269401,-1.0,0.9442079,-0.29955217,0.2786285,0.77070206,-0.19886982,0.81098634,-1.0,0.4630552,-0.41005945,0.23068517,-0.7606654
BSH2%UPI0006C45BC8,-1.0,-1.0,0.00049019745,-0.9293924,0.40743494,0.7746775,-1.0,-0.38751152,0.8527749,0.6991716,-1.0,0.10573267,-0.34241757,1.0,0.03013297,0.42619884,0.2685046,-0.88214964,-1.0,-0.82706505,-0.61023563,-0.9134935,1.0,0.84451544,1.0,-0.17707995,-0.6004861,-0.05533253,-0.6569734,-1.0,0.058328457,0.5730522,-0.7385196
BSH2%UPI0006C4A6B6,1.0,1.0,0.21487617,0.5795277,-0.16532502,-0.20160435,-1.0,0.5190708,-0.083430104,0.47071317,0.5676282,0.24978821,-0.40458965,0.6147658,-0.42877254,-1.0,-1.0,0.21706176,0.7979431,-0.4879582,-0.95737684,-0.6247497,0.18833365,-0.8854685,0.50335276,-0.622276,-0.6285904,-0.09414893,-0.09546317,-0.98844457,1.0,-0.7085274,0.99628884
BSH2%UPI0006C52F45,0.06320826,-0.49134502,1.0,-1.0,-0.22770114,-1.0,0.6261362,-1.0,1.0,1.0,-0.009420315,0.60666084,-0.8089374,1.0,-0.51553196,1.0,-0.5818745,-1.0,-0.56024617,-0.9039195,0.3985027,-1.0,0.654388,-0.7350838,-1.0,0.28746548,-1.0,0.277243,-0.70371974,1.0,1.0,1.0,-0.61063784
BSH2%UPI0006C5C844,0.10615474,0.31151876,0.6434661,-0.56318,0.07321175,-0.23359749,0.04547332,0.25894344,1.0,1.0,0.0565911,-0.95074403,-0.02992372,0.026875459,-0.24236754,0.09791774,-0.35914773,-0.60008204,0.04281069,-0.91972727,-0.24842998,-0.8617195,0.504838,-0.6975656,-1.0,0.2829369,-0.4363903,0.41453755,0.1250374,0.11401278,0.48816082,0.4578063,0.14264034
BSH2%UPI0006C706B0,0.7913015,0.9496197,-0.098351814,0.37723297,-0.8819258,-0.4922239,-0.1464702,-0.4474236,0.090774916,-0.02821291,-0.2065451,0.1888444,1.0,0.15614747,-0.6115832,-0.68680644,-0.67390734,-0.768229,0.2404781,-0.09026888,-0.24686328,-0.72167504,0.77612436,0.68443435,0.56342185,-1.0,-1.0,-0.9005508,0.46768746,-0.17080712,0.31108952,0.3508873,0.8239854
BSH2%UPI0006CAB5AD,-0.87385935,-0.8980283,0.0749365,0.53143007,-1.0,-0.6290318,-1.0,0.39036238,0.33833387,0.6441904,0.20425126,1.0,0.5646079,1.0,-1.0,-0.102974005,-1.0,0.27451783,-0.33358547,-1.0,-1.0,0.12296001,1.0,1.0,1.0,-1.0,0.26615342,-0.039061036,0.5744277,0.22406612,-0.19839087,0.25084835,-0.42713463
BSH2%UPI0006CABDF6,-0.07263679,0.53076047,-0.28223875,0.7262894,-1.0,-0.23231569,-0.84797907,0.47635096,-0.37586397,-0.010592115,0.72613454,-0.20242281,0.5978066,-0.24960028,-1.0,-1.0,-0.58966196,0.2841573,0.7426614,0.50483346,-0.22737727,0.6316783,-0.7139151,0.27737758,0.32464564,-0.5551821,0.64185023,-0.39864278,0.3303329,0.07494236,0.3909537,0.18526503,0.31389627
