Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoLCA
3aHSDH%GENOME060426_131,0.055144086,0.060844317,-0.060962014,0.05471396,-0.09242554,0.005486741,-0.061224874,0.065969184,-0.07118383,-0.034850467,0.033262495,0.07373173,0.052876256,-0.022181278,-0.045248553,-0.045133613,-0.07780357,0.0400142,0.03807444,-0.0972274,-0.09309444,0.03327663,-0.033589,0.05905559,0.0850754,-0.08400103,0.004216762,-0.018204337,0.06457655,-0.028618287,0.026263824,-0.024470074,0.069517665
3aHSDH%GENOME084620_3418,-0.015627766,-0.03005435,0.04613066,0.033494588,0.023080101,0.042289857,0.0065501966,0.024032397,0.036191043,0.011736387,-0.008033987,0.0009938077,-0.012160045,0.00011020366,0.021338636,0.025059748,0.009796226,-0.01220145,-0.029243067,-0.05886972,-0.10825164,-0.017528469,0.018290944,0.051793713,-0.0022578514,0.021131696,0.03332947,-0.020605443,-0.019498711,-0.022336071,-0.022901623,0.058628786,-0.039608214
3aHSDH%GENOME084674_3322,-0.05010922,-0.051012233,0.040655136,0.014931002,0.02690043,0.007054173,0.09224258,-0.05907881,0.028734338,0.041450962,-0.02694261,-0.04748627,-0.008331455,-0.07066354,0.016891256,0.08483702,0.059032477,-0.001561046,-0.03798659,0.057508804,0.015908282,-0.027939027,-0.039037384,-0.030559035,-0.03651732,0.06239799,0.010043588,0.05699483,-0.016031602,0.046273977,-0.06313218,0.04298214,-0.054175053
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.015237701,0.013528305,0.041866247,-0.014005586,-0.052503057,-0.10077644,-0.059078127,-0.028657911,0.003891929,-0.012834646,0.034767315,0.091431454,0.060296796,0.074899465,-0.117456585,-0.032425534,-0.017413048,0.012183155,0.032421257,-0.022216065,-0.04438274,-0.0166389,0.084198065,0.07786497,0.04875313,-0.048651323,-0.049868464,-0.11176859,-0.01722942,-0.064905204,0.08662718,-0.033117164,0.02117882
3aHSDH%MBS5502136_1_3-oxoacyl-ACP_reductase_FabG__Eggerthella_sp__,0.00075436046,-0.000937854,0.027179303,-0.016291441,-0.00053517835,-0.06099992,0.013912909,-0.017911255,0.04252461,0.00763133,0.00039817204,0.019728323,0.025157863,0.04010545,0.019818703,0.000404181,-0.034118127,-0.033641793,0.00036401412,-0.019198552,0.0034206924,-0.047324095,0.056083985,-0.0052520945,-0.020191707,-0.02235875,-0.047602955,0.0092637725,-0.015212352,-0.0011158545,0.020709522,0.003261514,-0.0021995415
3aHSDH%MCI6529002_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,0.012708588,0.008881651,0.027770016,-0.056720924,0.03540463,-0.030659351,0.03292355,-0.07042301,-0.0003717827,0.015358963,0.010784674,0.004396801,0.005695683,-0.05869368,0.026287567,-0.0008198196,-0.003319233,-0.03898389,0.009176659,0.021102335,0.018312387,-0.06901362,-0.03689481,-0.024763806,-0.0076518087,0.027245946,0.03412109,0.008827315,0.0062953345,0.009910083,0.046020374,0.03322495,0.0026329774
3aHSDH%MCI6633699_1_3-oxoacyl-ACP_reductase_FabG__Clostridiales_bacterium_,0.009937421,0.011132016,-0.03136039,-0.028866366,0.010315776,0.020568045,-0.007870417,-0.009604544,-0.0010058279,-0.015586615,0.0076150913,-0.007991698,0.035182565,0.034410946,0.024372306,0.0031478873,-0.03141491,0.006434868,0.0106261335,-0.014077557,-0.033796884,-0.0140626915,-0.00829377,-0.005827885,0.03400848,-0.002176169,-0.051864237,-0.01015719,0.03376637,-0.022580864,-0.031320453,0.03418487,0.007650835
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,-0.022566278,-0.04505242,0.055103626,-0.052809115,0.07823929,-0.04389426,0.018819626,-0.031300977,0.04535225,0.03480582,-0.027847236,-0.03796441,-0.052606627,0.08963433,0.008279863,0.054401226,0.053859416,-0.024548845,-0.05828118,0.009262407,-0.010521481,-0.056706134,0.031706333,-0.035172038,-0.017749641,0.041128162,-0.036937512,0.02313159,-0.06813765,0.021551896,0.06696254,0.06734861,-0.053312473
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,0.030402986,0.02532534,-0.022513352,0.005561028,-0.008086574,-0.012947203,-0.038798273,-0.009932102,-0.02684829,-0.026203692,0.012594999,-0.0013074216,-0.0010727809,-0.009752213,-0.004394949,-0.04078526,-0.029296791,-0.0036226169,0.018375296,-0.0142033575,0.028630255,0.03881309,-0.011449283,0.009759781,0.010643837,-0.004828172,0.0013307211,0.01237622,0.012383164,-0.0020733722,0.054455668,-0.022548955,0.02423777
3aHSDH%MCI8568452_1_3-oxoacyl-ACP_reductase_FabG__Bacilli_bacterium_,-0.08736177,-0.057033196,0.06967421,-0.053221766,0.06625638,0.019023493,0.004838224,-0.06579066,0.084621355,0.08075408,-0.020005496,-0.033407204,-0.043388605,0.09286877,-0.0060773296,0.028556144,0.0291243,-0.056153245,-0.029897245,0.034413826,0.01286318,-0.07360744,0.11006723,-0.028570117,0.018825969,0.04673231,-0.036766604,0.028097894,-0.068890594,-0.043579236,0.06924779,-0.030163432,-0.051531248
