Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,HCA,LCA,TCA,TCDCA,TDCA,TLCA,UDCA
5BR%MCD8287651_1_NADH_flavin_oxidoreductase__Porphyromonadaceae_bacterium_,0.0041931774,0.07164079,0.02207826,0.013420442,0.02446461,-0.10506633,0.05865198,0.041135117,-0.08863389,-0.02431575,0.0064416914,-0.054166812,0.025003286,0.025292395,-0.09146731,-0.08345318,-0.015654765
5BR%MCF0197806_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,-0.13002983,0.003395743,0.051149398,0.07650654,0.06432488,-0.10164866,0.16883369,0.15767401,-0.0309659,-0.107954934,-0.089339994,-0.099566124,0.120139405,0.11811686,-0.030239362,-0.030228388,-0.102572314
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,0.09133387,0.0950676,0.030128263,-0.019762786,-0.021133322,0.057535563,-0.05848939,-0.07321718,0.015680641,-0.0080268495,0.058837596,0.03935282,-0.14600027,-0.12354593,-0.114573374,-0.10354369,0.043786578
5BR%MCQ2066925_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,0.096868895,0.013934377,-0.03082199,-0.037791383,-0.027771566,0.1039331,-0.054082837,-0.066027276,0.06541217,-0.0059193615,0.039149478,0.05524657,-0.08119405,-0.11793039,-0.048494034,-0.09099247,0.0706815
5BR%MCQ2271787_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.074495085,-0.05298194,0.1366102,0.108397745,0.1623132,0.062492117,-0.070033096,-0.15304789,-0.1743461,-0.018720157,-0.040884312,-0.011490175,0.0041836994,-0.08323816,-0.06215921,0.053460255,0.18294153
5BR%MDD5892138_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,-0.0020803763,0.02653798,-0.06501483,-0.039266076,-0.095688604,-0.0075486316,0.052593794,0.006445838,0.04668329,-0.01997825,0.052040853,0.03929769,0.05804025,0.058569923,0.098206855,0.011858153,-0.08145878
5BR%MDD5962634_1_NADH_flavin_oxidoreductase__bacterium_,-0.058140766,-0.13193373,0.035732895,0.084282964,0.09141528,0.018564653,0.0025494024,0.031653676,0.017997133,-0.042133234,-0.08979067,-0.026513532,0.09166478,0.092587605,0.15219875,0.112438925,-0.04014914
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,-0.022112438,0.0003454041,0.070157945,0.10767385,0.14972548,-0.12246356,0.033087745,0.005591821,-0.22314698,0.031276345,-0.07883906,-0.10048911,0.088977054,0.1057694,-0.028316969,-0.001312996,0.018659217
5BR%MEZ3591839_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,0.17293483,0.14150459,-0.12609465,-0.1799424,-0.18847956,0.1512122,-0.13875328,-0.16185057,0.11164818,0.21462154,0.22513029,0.20258111,-0.15810612,-0.1100132,-0.06339696,-0.13634914,0.028829398
5BR%WP_008142631_1_NADH_flavin_oxidoreductase__Phocaeicola_coprophilus_,-0.023415558,-0.24939233,0.018979134,0.033134706,0.044788122,0.060288407,0.006193415,0.035800897,0.095637105,-0.047777634,-0.091929294,-0.008253886,0.072187,0.00458011,0.06439688,-0.09353637,0.048473187
5BR%WP_182654491_1_NADH_flavin_oxidoreductase__Alistipes_indistinctus_,-0.021492112,0.01209853,0.14391632,0.104443476,0.15950611,-0.05181972,0.038963675,-0.05791676,-0.18854026,-0.17610541,-0.009491961,-0.017176986,0.034502026,-0.09051826,-0.06379843,0.10313653,0.093030795
5BR%WP_250710077_1_NADH_flavin_oxidoreductase__Bacteroides_fragilis_,-0.2681716,-0.091532566,-0.010397298,0.042935103,0.044519924,-0.12380457,0.2642656,0.23787117,0.08959321,-0.17831701,-0.13688378,-0.14989604,0.21077654,0.12659433,-0.02550619,0.037960242,-0.18219683
5BR%WP_259010233_1_NADH_flavin_oxidoreductase__Parabacteroides_distasonis_,-0.23287712,-0.10352891,-0.103801616,-0.058175627,-0.025675287,-0.09940259,0.2201555,0.25377837,0.1678383,0.0040307343,-0.08540675,-0.103018634,0.14074963,0.08239245,-0.1418029,-0.076839074,-0.19265664
5BR%WP_279088787_1_NADH_flavin_oxidoreductase__Alistipes_putredinis_,-0.010464332,0.022819588,-0.06401989,-0.06750984,-0.07977181,0.014194794,0.025807187,0.00972582,0.07261161,0.048671007,0.034612108,0.026275352,0.00035854298,-0.010311305,-0.020725377,-0.05571049,-0.031761333
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,0.03108969,0.12769718,-0.06155993,-0.09226357,-0.09053565,0.02647484,-0.024944248,-0.035847075,0.043451805,0.08454843,0.10985801,0.083402626,-0.07642304,-0.07216159,-0.06656948,-0.06802992,-0.032728873
5BR%WP_300285921_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.027335646,0.007136356,0.055381794,0.09913584,0.01463308,-0.06851621,0.032855384,0.024731074,-0.101160735,0.025036354,-0.04274385,-0.058297902,0.06493921,0.13818018,0.080100365,0.025701582,-0.0516726
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.12635088,0.053312324,-0.16638795,-0.10830417,-0.12047288,-0.08659513,0.109022416,0.12706678,0.112569675,0.011429203,0.03321503,0.005590676,0.08588769,0.14405228,0.12790616,0.04731783,-0.17818126
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,-0.008700282,-0.10455744,0.117748134,0.044096556,0.14366604,0.07301517,-0.0027861393,-0.07665244,-0.078629084,-0.059752084,-0.030763926,9.534988e-05,0.04478347,-0.12749432,-0.15546712,0.0718785,0.12746857
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,0.006901794,0.08963173,-0.06453177,-0.067111336,-0.06715799,-0.00088515587,-0.0024282404,-0.0060642986,0.026190646,0.039507937,0.05775705,0.03508179,-0.0004128609,0.002469467,-0.021346381,-0.044873662,-0.023623826
7aHSDH%EOW9602512_1_SDR_family_NAD(P)-dependent_oxidoreductase__Escherichia_coli_,-0.22055328,-0.0076850313,0.06591906,0.16024004,0.09716729,-0.24516949,0.23195593,0.22078407,-0.104840145,-0.111760885,-0.20945969,-0.24421531,0.24679428,0.29165736,0.14156759,0.06946953,-0.17258357
7aHSDH%GENOME011662_3430,-0.019152537,-0.092340425,-0.0053409077,-0.00849826,-0.025245119,0.047507767,0.0061400537,0.011169079,0.08780145,-0.0074482276,-0.022310428,0.016829826,0.010435625,0.014013934,0.057491716,-0.00092128245,-0.012851455
7aHSDH%GENOME067790_2714,0.030611666,-0.07516041,0.06094217,0.031404663,0.038883556,-0.00091577624,-0.07543127,-0.05147586,-0.05864307,0.018065602,-0.047962714,-0.029602258,-0.03975793,-0.047038876,0.012184407,-0.021940885,0.13819443
7aHSDH%GENOME070302_884,0.0061331624,-0.033809114,0.010303771,4.4449494e-05,-0.0662975,-0.037045926,0.008490043,-0.026059616,-0.00801091,-0.014834464,0.029116228,0.005800679,0.0019702674,0.021105522,0.09244404,0.10630391,-0.0052549555
7aHSDH%GENOME086444_1757,0.008297981,-0.047575727,-0.043097597,-0.0600227,-0.07302558,0.025031675,-0.03224636,-0.03366619,0.055224244,0.046194423,0.036798973,0.0421672,-0.019010436,-0.0011519582,0.027953735,-0.011160973,-0.021188311
7aHSDH%GENOME103762_694,0.04657597,0.100881994,-0.022875555,-0.024668438,-0.064059705,0.0354081,-0.0014794957,-0.05821929,0.0040515154,0.0037965202,0.07995794,0.07169219,0.0067327064,-0.015690884,0.026735367,0.019568048,-0.047270063
7aHSDH%GENOME150027_3593,0.025947364,0.06623058,0.08723888,0.09475808,0.12167311,-0.020905497,0.02854663,-0.039988607,-0.12406388,0.033408985,-0.07982418,-0.06872659,0.032475706,-0.019634757,-0.058359984,-0.028377011,0.044066735
