Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
BSH2%UPI000960BD65,-0.47569096,-0.35405755,0.2919776,1.0,1.0,0.67749196,0.43612978,-0.3068176,0.7107553,1.0,-1.0,-0.87174344,-0.31466427,-1.0,1.0,0.85563266,1.0,-1.0,0.72587764,-0.9952716,-0.7787533,0.5495821,-0.42428026,-0.9455285,0.91458327,0.029525759,1.0,-0.84569883,1.0,0.17136252,-0.35412553,-1.0,0.92279685,-1.0,0.67152214,-1.0,-0.8646913,-1.0
BSH2%UPI0009611255,-1.0,-1.0,1.0,-0.98040414,1.0,-0.9005553,1.0,-0.8841837,1.0,1.0,-1.0,-1.0,-0.61005914,-0.09390836,1.0,1.0,0.9119061,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.42510977,-1.0,-0.6805946,0.36321798,1.0,-1.0,1.0,-0.75563097,1.0,0.1691702,1.0,-1.0,-1.0,0.46463162
BSH2%UPI000961A2BF,-0.03484749,-0.41445553,0.28988743,0.94432485,0.4062518,0.72945464,-0.25181338,0.49442372,0.48901892,0.2698405,-0.45699155,-0.529024,-0.52728236,0.24695142,0.3252563,-0.5194085,-0.20306447,-0.71818656,-0.35526314,-0.4410332,0.16805042,-0.7242267,-0.04236503,-1.0,1.0,0.79471666,0.7992586,1.0,0.6481174,-0.5962256,-0.013753628,-1.0,0.5121544,-0.42542112,0.36483943,-0.35256535,-0.5478532,-0.27327803
BSH2%UPI000965B48B,-0.22220467,-0.035792653,-0.19897276,1.0,-1.0,1.0,-1.0,1.0,-0.59355193,-0.16227844,0.7105047,1.0,0.8745641,-1.0,-0.57235485,-0.059486218,-0.111910895,1.0,-0.91426915,0.7277734,1.0,-1.0,-0.94556147,1.0,-0.62115234,0.89400554,1.0,-0.7304889,-1.0,1.0,-1.0,-0.08889278,-1.0,-1.0,-0.5071901,0.6846325,0.067512296,-1.0
BSH2%UPI000966A84B,-0.061834905,-0.28186336,0.37168422,0.45540178,-0.599533,-1.0,-0.8663524,-0.63117707,0.6743446,-0.083585605,0.27670044,0.63544387,1.0,-0.056110594,-0.52526534,-0.37545604,-1.0,-0.1589167,-0.5405042,0.2578551,-1.0,0.12581046,-0.84328485,-1.0,1.0,0.73644155,1.0,0.9099125,-0.63839215,0.081891,-0.2740807,-1.0,-0.7218013,1.0,0.6373255,0.37707442,0.053654652,-1.0
BSH2%UPI00096829BD,0.46342957,0.9636999,-1.0,1.0,-1.0,1.0,-0.5683414,1.0,-1.0,-1.0,0.61841434,1.0,1.0,-0.28441128,-0.90288335,-1.0,-1.0,1.0,-1.0,0.80331904,1.0,-0.8778518,-1.0,1.0,-1.0,-0.3292096,1.0,-1.0,-1.0,1.0,-0.5594908,1.0,-1.0,-0.89640075,-0.90783226,0.5641865,1.0,-0.63856775
BSH2%UPI0009698BA7,1.0,1.0,-1.0,-0.0010628357,-0.95592755,-0.5592389,-0.10968885,0.5102564,-1.0,-0.6642326,1.0,0.95578206,1.0,-0.58115876,-0.3280722,-1.0,-0.8181079,1.0,-1.0,1.0,0.9404678,-1.0,0.18000913,0.20726284,-0.95488995,-0.19507481,1.0,-0.35431665,-1.0,-0.6162568,-1.0,0.59815437,-1.0,1.0,-1.0,1.0,1.0,-0.9499761
BSH2%UPI0009C3B121,-1.0,-0.69764644,0.9098953,-1.0,1.0,-0.11680531,1.0,-0.019784277,1.0,1.0,-0.88429314,-1.0,-0.9072222,1.0,0.77502894,0.7344063,1.0,-0.61782986,-0.10939901,-1.0,0.43374094,-0.26950303,-0.97487795,-1.0,0.48211655,-1.0,-1.0,0.863462,1.0,0.72515196,0.019372959,-0.40059218,0.56847537,0.7890417,0.012230815,-1.0,-0.64086723,0.5670878
BSH2%UPI000B3674FC,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-0.8810181,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.76099247,-0.48058662,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.19542237,-1.0,-0.2951702,-1.0,1.0,1.0,-1.0
BSH2%UPI000B38AD3B,0.13066427,0.04343686,-0.27067026,1.0,-0.16250677,-0.5073227,0.10094012,0.817295,-0.19416746,-0.22394224,0.08195114,-0.011962452,0.2543201,-0.23495314,0.16238686,-0.4898122,-0.7954589,0.35058367,0.08125032,0.12319729,0.37665907,0.5562266,0.5471949,1.0,-0.6875539,-0.84734374,-1.0,-1.0,0.042672306,1.0,0.31289738,0.95752555,0.7895615,-0.63034254,0.416861,-0.031291667,-0.01560269,-0.5756224
