Family,CA,CDCA,DCA,LCA,UDCA
BSH2%UPI000D58F0CE,-1.0,-1.0,1.0,1.0,0.29840526
BSH2%UPI000D7ADB68,-0.2160858,-0.17307024,0.36074814,0.32003286,-0.6177428
BSH2%UPI000E40484B,1.0,1.0,-1.0,-1.0,0.40981248
BSH2%UPI000E4BF981,0.9293407,0.82381177,-0.72022223,-1.0,0.3201151
BSH2%UPI000E91045C,1.0,0.9651229,-1.0,-1.0,0.86800003
BSH2%UPI000EE4CDBB,0.26856852,0.14144443,-0.73591876,-0.109301336,0.72934604
BSH3%UPI00033CE23D,1.0,1.0,-1.0,-1.0,0.34122947
BSH3%UPI00092A5378,1.0,1.0,-1.0,-1.0,0.44530118
BSH3%UPI0009648BEC,1.0,1.0,-1.0,-1.0,0.7123916
BSH3%UPI000C9D0DE6,-0.59905314,-0.68798524,1.0,1.0,-1.0
BSH3%UPI000E902C94,0.61723596,0.50414264,-0.9552877,-0.7205614,1.0
BSH4%UPI0001653940,1.0,1.0,-1.0,-1.0,1.0
BSH4%UPI0001FAB233,-0.33343253,-0.3949255,0.026995825,-0.1961906,1.0
BSH4%UPI000822CCAE,-1.0,-1.0,1.0,1.0,-0.50370425
BSH4%UPI000E54B9B5,-0.0012738962,-0.11432893,-0.4202521,-0.3578568,1.0
BaiA%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_861,-0.96229863,-0.85969496,1.0,0.8246511,-0.4042382
BaiCD%MEI3381486_1_FAD-dependent_oxidoreductase__Dorea_sp__,-0.9792587,-0.9583026,1.0,0.9088235,-0.27707243
BaiCD%bai_cluster_1%midas_Clostridium_hiranonis_61655%Clostridium_hiranonis_61655|NZ_DS995354_290,-0.93581843,-0.94558036,0.9446844,0.9067073,-0.24533351
BaiE%LiJ_2017__H3M515915__bin_8_fa_COLEEGFP_01274__Bile_acid_7-alpha_dehydratase,-0.14587903,-0.16590492,0.34842485,0.3454288,-0.80852526
BaiF%ERR688512_bin_36_KMFCMBJN_00514__Bile_acid-CoA_transferase,-0.8825776,-0.80538845,1.0,0.8603387,-0.65132195
BaiF%LiJ_2014__MH0358__bin_56_fa_NPCPOAJM_00305__Bile_acid-CoA_transferase,-0.9132217,-0.88042426,0.81600183,0.87464195,-0.0849242
BaiF%MCI9468413_1_CoA_transferase__Oscillospiraceae_bacterium_,1.0,0.90762085,-1.0,-1.0,0.55197275
BaiF%Obregon-TitoAJ_2015__NO11__bin_28_fa_ODBMCAMJ_01956__Bile_acid-CoA_transferase,-0.97011256,-0.88729703,0.78582776,0.8434802,0.17010976
BaiF%SRR5127813_bin_22_DKEDJIEF_00985__Bile_acid-CoA_transferase,-0.7971951,-0.67111886,0.671372,0.81727606,-0.27664223
BaiF%bai_cluster_3%midas_Clostridium_hylemonae_61789%Dorea_sp_89094|KQ236743_10986,-0.7536638,-0.65636045,0.8153949,0.7021908,-0.38684925
BaiF%fig|1950825_3_peg_1464|__L-carnitine_dehydratase_(EC_4_2_1_89)____Clostridiales_bacterium_UBA1701_|_1950825_3_,-0.72958213,-0.5764088,0.6396155,0.85692835,-0.6041095
BaiG%LeChatelierE_2013__MH0251__bin_10_fa_BOBEKBFD_00006__Multidrug_resistance_protein_3,-0.47573352,-0.35888,0.5117909,0.5089117,-0.46835127
BaiG%MBR4017991_1_MFS_transporter__Clostridia_bacterium_,1.0,1.0,-1.0,-1.0,0.72086096
BaiG%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3097,-0.5466334,-0.5770082,0.71551406,0.58923095,-0.51922596
BaiH%MEE0204071_1_FAD-dependent_oxidoreductase__Oscillospiraceae_bacterium_,-0.42617914,-0.2980062,0.3808872,0.70271844,-0.877687
BaiH%bai_cluster_11%midas_Romboutsia_sp_25236%Romboutsia_sp_25236|FJTZ01000011_310,1.0,1.0,-1.0,-1.0,-0.5803545
BaiH%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_836,-0.9948116,-0.9308508,1.0,1.0,-0.8021678
BaiI%WP_279004450_1_nuclear_transport_factor_2_family_protein__partial___Clostridium__scindens_,-0.42823547,-0.47003138,0.5931095,0.46249506,-0.44877785
