Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Tyr_CA,isoCA_aMCA,isoLCA
BSH2%UPI0006CAB5AD,-0.08637885,-0.13896795,-0.003891687,-0.09531767,0.031350702,0.0694121,-0.057917833,0.06357262,0.07942122,-0.05985876,0.013617214,-0.0070854276,-0.04433186,0.014356621,-0.038231127,-0.06262502,-0.05504993,0.06098275,0.11480094,0.012781445,0.11452131,-0.012023235,0.02839006,-5.2268355e-05,-0.012259023,0.11144737,-0.045535736,-0.024418449,-0.08841853
BSH2%UPI0006CABDF6,0.14509769,-0.06770167,0.054132048,-0.022831092,0.07653011,-0.042700853,0.051692933,-0.042729564,0.018041238,0.10951291,-0.06398033,-0.009844848,-0.012206929,0.00272776,0.01658132,0.15232414,0.06737652,-0.020176299,-0.07815172,-0.033754364,-0.15053369,-0.123997405,-0.099101655,0.07158996,0.12696281,-0.13515562,0.03999902,0.14570338,0.07489636
BSH2%UPI0006CABE2C,-0.055075206,-0.14957948,0.085029125,-0.06719057,0.074913345,0.09030835,-0.02015872,0.061806697,0.036267266,-0.109922536,-0.11022686,-0.10117466,0.12077179,0.10353933,0.0978238,-0.009237801,-0.13560623,0.14828667,0.085419394,-0.0073714093,-0.063487984,-0.11431353,-0.14552157,0.118796565,0.015372936,0.12509915,0.13024004,0.043058023,-0.10957891
BSH2%UPI000820857A,-0.08407354,-0.090856165,0.027688378,-0.051190764,0.020667527,0.13059023,0.020725327,0.04602803,0.056889467,-0.05425302,-0.0061795753,-0.08142784,0.009582699,0.108597405,0.08553508,-0.02010273,-0.075689666,0.04769444,0.0070023565,-0.05213474,0.03720333,-0.018421724,-0.013409005,0.005816183,-0.04358597,0.05574392,0.044310655,-0.047885805,-0.037601784
BSH2%UPI000820F666,0.08036838,-0.06064436,-0.016830688,0.009002479,-0.008147317,-0.016619148,0.09533004,-0.06306697,-0.08129713,0.0027687163,-0.04954287,-0.04051384,0.030528292,0.045220755,0.030984635,0.12979606,0.046071857,-0.0049432707,-0.007341051,0.071907334,-0.08069328,0.007806062,-0.014893877,0.0058356565,0.09174896,-0.088981144,0.011415261,0.053748444,0.044941287
BSH2%UPI000821232B,-0.044475593,-0.0857389,0.12143724,-0.08724905,0.12914914,0.088857524,-0.13754174,0.13186617,0.15897042,-0.026197601,-0.0585773,-0.08798276,0.098939486,0.10237523,0.12279147,-0.07858489,-0.10325673,0.07266656,0.056692027,-0.158938,0.042628102,-0.01945942,-0.013840842,0.11695134,-0.04465869,0.011011765,0.081657305,0.113852866,-0.109257355
BSH2%UPI000821B9AC,-0.15260783,-0.065134816,0.060847476,-0.03470426,0.0096015455,0.07018161,-0.07717695,0.090049416,0.1048359,-0.08532368,-0.032193173,-0.061671734,0.06617321,0.027595332,0.010132175,-0.18835437,-0.12475055,0.06584979,0.01065981,-0.08381395,0.016572809,-0.059755944,-0.056257285,0.038859993,-0.09897225,0.21817832,0.066832565,0.0057398193,-0.09630744
BSH2%UPI00082257EE,0.15878023,-0.03585495,-0.016024051,-0.03133382,0.0777119,-0.11367468,-0.0036771195,-0.0751566,0.000103288556,0.063051306,-0.06266655,0.07007908,0.008515924,-0.098997705,-0.07028224,0.1429995,0.04518765,-0.035299078,-0.097896405,0.017351998,-0.20640844,-0.14957273,-0.11242117,0.016344374,0.13733731,-0.03811802,-0.02732194,0.19788212,0.09279592
BSH2%UPI000822F9A5,-0.01456059,-0.008536966,-0.04597342,0.038812682,-0.085178845,0.020609917,0.04617024,-0.02719227,-0.014371357,-0.0016511653,0.01917896,-0.0021985772,-0.063572235,-0.008726168,-0.0125742,0.0042565223,0.00069797365,-0.021865591,-0.04270169,0.035596237,-0.035555556,-0.021824664,-0.023138078,-0.055211123,0.02008632,0.07214598,-0.016614761,-0.046937834,0.01621872
BSH2%UPI00082332C0,-0.01388588,0.06185361,0.024883669,-0.026708107,0.035562605,-0.0047006146,-0.048832435,0.012055945,0.01600193,-0.0024637124,0.007882594,0.06579462,0.028496793,0.0010076598,0.008972974,-0.041217312,0.023733117,-0.0132407965,0.0689377,-0.020649754,0.03853133,-0.008810675,0.07940253,0.02760182,-0.07128911,-0.047947854,-0.052144874,0.004198121,0.027214773
BSH2%UPI000965B48B,0.05021991,-0.04575547,-0.08145938,0.035010163,-0.063426204,-0.13758239,0.026530309,-0.08363219,-0.043792292,0.0027246014,-0.020229528,0.011850688,-0.10211673,-0.044599656,-0.022780597,0.07038416,0.06589069,-0.027978644,0.02948691,0.12670287,-0.03951423,0.019290522,0.03264146,-0.022371938,0.09164726,-0.020319715,-0.049951434,0.006992547,0.047241915
BSH2%UPI00096829BD,0.05531445,-0.045232225,0.0120595535,0.0033883995,0.014361585,-0.019864634,0.0049519776,0.009767693,0.018555181,0.07979414,-0.014563046,-0.026708843,0.062297434,-0.043914467,-0.024161434,0.03613149,0.028918752,-0.023153083,-0.007241666,0.006388603,-0.062556736,-0.07051827,-0.023494067,0.033350214,0.057195827,-0.017433416,-0.013605032,0.0594399,0.009850908
