Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,LCA,TCA,TCDCA,TDCA,TLCA,TUDCA,UDCA,isoUDCA
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,1.0,1.0,-0.10589975,-0.8822079,-0.6849651,1.0,-0.69702154,-1.0,-0.012718908,0.538057,-0.33999813,1.0,-0.6018269,-1.0,-0.4871578,-0.86819935,-0.44026193,0.34251404,1.0
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.93978834,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-0.014515271,-0.906114,-1.0,1.0,1.0,-1.0,-1.0,1.0,-0.17202349,-1.0
12bHSDH%GENOME225741_180,-0.8143348,0.87464774,-1.0,-1.0,-1.0,1.0,1.0,0.2848752,1.0,-0.5030299,-1.0,1.0,0.42196012,0.09068504,1.0,1.0,-1.0,-1.0,-1.0
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-0.1438669,1.0,-1.0,-1.0,1.0,1.0,-0.9168197,0.50328034,0.16598557
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,1.0,1.0,0.2917914,-0.2251369,0.27108777,0.7162091,-0.76881707,0.007659881,-0.4533997,-0.4282314,-0.9298651,0.32435784,-1.0,-0.8926718,-0.8787469,-0.4804036,-0.7402839,1.0,1.0
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.38861728,-1.0
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.16910884,-0.10932437,0.9885151,1.0,1.0,-0.05923074,-0.8937443,-0.95091784,-1.0,-1.0,0.6064494,0.0126919765,-0.82587993,-0.7565157,-0.083933726,0.42339838,0.58349943,1.0,1.0
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.22304665,0.10639602,-0.85155714,-0.35487953,-0.9457627,0.59179264,-0.2987976,-0.015206007,0.9829967,1.0,-1.0,0.33068565,0.65825003,0.8031744,1.0,0.548799,1.0,-1.0,-1.0
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,-1.0,-0.4886804,-1.0,-1.0,-1.0,-1.0,-0.09574545,1.0,0.5646509,-0.43892908,0.803667,-0.9180332,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,0.9373704,0.32621652,-0.0473225,0.15021561,-0.35957,-0.24005349,-1.0,-1.0,-0.6805672,0.55296594,-0.85753495,0.43425772,-0.78038204,-1.0,-0.25733605,1.0,-0.07777312,1.0,1.0
