Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,LCA,TCA,TCDCA,TDCA,TLCA,TUDCA,UDCA,isoUDCA
BSH2%UPI00033F049A,0.06346904,0.073926486,-0.032587096,-0.08335174,-0.043310747,0.036780756,-0.09571344,-0.05756183,-0.016563317,0.097266436,-0.05682421,0.05938767,-0.08744806,-0.0681034,-0.030277414,0.055323903,0.026611038,0.06735028,0.039490703
BSH2%UPI00038B932A,0.019950258,-0.0026984597,-0.035200693,-0.0077501177,-0.028880637,-0.009189038,0.0109413015,0.0023776765,0.05313,0.029897202,0.011498969,-0.013206068,0.0076921,-0.029025571,0.046906475,-0.00834485,0.03369604,-0.03197154,-0.06849157
BSH2%UPI000396CDDF,-0.036513492,-0.024831474,0.009744804,0.032413386,0.04477412,0.0022305322,-0.010602678,-0.022926891,-0.015581895,0.024548005,-0.04133034,-0.0015782235,0.01290311,-0.02894719,-0.048081018,0.010834382,0.014003004,0.05962748,0.050208088
BSH2%UPI00050FFCF5,0.0041848393,0.04889874,-0.02805156,0.0037701842,-0.003377168,0.048965808,-0.06360537,-0.050504856,0.04338045,0.07011913,-0.109566756,0.06429813,-0.022405265,-0.044380233,-0.0014474933,0.033332985,-0.00022249237,0.0043957694,0.0065737204
BSH2%UPI0005D317A6,-0.023435498,0.006375349,-0.016551143,0.008490156,-0.010328659,0.014540384,0.0023149357,0.00024828673,0.057995655,0.006925598,0.008605436,0.0037877099,-0.032615434,-0.042133883,0.028206572,0.046253618,-0.033724643,-0.03031592,-0.014916617
BSH2%UPI0005DCCFF2,0.15412864,0.124630354,-0.08491328,-0.039681286,-0.021609223,0.110590346,-0.14499196,-0.11689696,0.044917766,0.10696751,-0.15635982,0.12055598,-0.16475908,-0.15495926,0.039660558,0.12567957,-0.06575791,0.053462878,-0.025727537
BSH2%UPI0006BFFEB7,-0.05031622,-0.058128387,0.08009642,0.084173135,0.04688695,-0.068315804,0.053674422,0.06522983,-0.052039284,-0.081053674,0.017515851,-0.040682968,0.062948,0.072244845,-0.050628923,-0.0728167,-0.001879086,0.004816218,0.058324996
BSH2%UPI0006C0EB58,-0.057976734,-0.061571654,0.033784773,0.074270904,0.060352106,-0.036610324,0.027658235,0.01254147,0.01434845,-0.026152022,0.015355907,-0.022104656,0.05269125,0.023582332,0.0032827426,-0.013971364,0.021218302,-0.037315425,0.028471775
BSH2%UPI0006C1ADDE,-0.032055467,-0.023849975,0.019496247,0.016737493,0.011283097,0.00945831,0.044367008,-0.0056076967,-0.019680405,-0.044947535,0.0111934,0.003035587,0.06858471,0.04436661,-0.020390738,-0.05998796,0.023232188,-0.0050336733,0.00240711
BSH2%UPI0006C28698,0.0123810815,0.03190628,-0.07175957,-0.046525072,-0.055120304,0.057984363,-0.05803418,-0.079971306,0.04570981,0.04416789,-0.09542699,0.052821938,-0.03789748,-0.029377965,0.0769759,0.07829897,-0.008545136,-0.002537216,-0.025643619
