Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,HCA,LCA,TCA,TCDCA,TDCA,UDCA
BSH2%UPI000E91045C,-0.0011113633,0.0009472615,-0.023236776,-0.04675818,-0.009343385,0.012759853,-0.0018876846,0.0004585522,0.02180712,0.052304503,0.054073766,0.0072690486,0.0050961804,-0.031128375,0.045496713,-0.010890045
BSH2%UPI000EC98B2C,-0.04124216,-0.05312487,0.03730895,0.06714472,0.06963244,-0.03953571,0.059388302,0.0491801,-0.027340423,0.095474154,0.0136279045,-0.0067826374,-0.025479352,-0.034314357,-0.055949677,0.024405358
BSH2%UPI000EE4CDBB,-0.026321515,-0.021912057,-0.08807595,-0.05378004,0.00021910017,-0.008139683,-0.013975185,0.00069329835,0.00087042444,-0.0034261742,-0.028483342,-0.0050596367,0.059275758,0.048627056,0.04766141,-0.04857309
BSH3%UPI00016547A5,0.113055356,0.029312467,-0.036733497,-0.043778934,-0.09117763,0.09500024,-0.055531584,-0.02241961,0.098892346,-0.06442979,0.021661585,0.10268065,-0.061507907,-0.05378176,-0.008565676,-0.0012051413
BSH3%UPI00017EF3F1,0.022720803,-0.014145888,0.019019265,0.00021216515,-0.0103819715,0.025137072,0.011338463,0.0015813251,-0.009175096,0.00011190909,-0.026109602,0.06737421,-0.04966865,-0.021294953,-0.06241907,-0.015938101
BSH3%UPI0001A5F983,-0.08805356,-0.050652653,0.0019764435,-0.01940366,0.051688876,-0.096271314,0.074215665,0.06198367,-0.04037191,0.08825006,0.0016509267,-0.0865501,0.10666707,0.046600543,0.012304281,-0.035815135
BSH3%UPI0002132A6C,-0.02764627,-0.041853525,0.008943713,-0.0006462045,0.05135908,-0.032477904,-0.04591499,0.0061949342,-0.030558364,0.049404208,0.014379867,-0.036871094,0.028812552,0.055022065,0.0032078056,-0.015463766
BSH3%UPI00033CE23D,-0.005463767,0.031836048,0.03772193,0.07051458,0.028117418,-0.024371635,0.009554136,-0.010281226,-0.106647536,0.0015567389,-0.010060752,0.0048846505,0.023054874,0.033355437,-0.044256944,0.035698555
BSH3%UPI00035F5DCE,-0.06878798,-0.058517132,0.025423624,0.03891404,0.035545513,-0.07242385,0.013343088,-0.007023594,-0.045203947,0.04188796,0.004805922,-0.057951976,0.073181495,0.06755763,0.015929863,0.020811593
BSH3%UPI00080CB216,0.022731273,0.054626893,-0.018879533,0.030118221,-0.042830583,-0.001446579,0.05156023,0.02609681,-0.024424585,0.052078895,-0.04813877,-0.014211971,0.00751539,-0.0006231692,-0.05123907,0.032975838
BSH3%UPI000CF406F5,-0.009149309,-0.07112585,-0.024110682,-0.031480614,0.037774168,-0.017915482,0.04424531,0.00073023327,-0.026290935,0.032453496,-0.00054724736,-0.031116968,0.069237754,-0.034090806,0.06715033,-0.067689925
BSH3%UPI000E4DFA31,0.058762744,0.03877952,-0.010974799,-0.062193338,-0.071853496,0.05905102,-0.034253187,-0.017225392,0.040799316,-0.048973218,-0.047714185,0.072940916,-0.041099716,0.00088904565,0.043064117,-0.041739527
BSH3%UPI000E555DC1,-0.034231964,-0.012210996,0.023974799,0.014050741,0.0142326215,0.0026139624,0.013368849,-0.023033034,-0.031603467,0.023580354,0.027285893,-0.02922534,-0.019711621,0.032890085,0.029865222,-0.034645468
BSH3%UPI000EF23C17,-0.08864216,-0.054216746,0.012175479,0.028165774,0.022443317,-0.064591564,-0.014212692,-0.054522943,-0.025126956,0.056225337,0.023609962,-0.070638224,0.067631796,-0.017937386,0.030745786,0.06412274
BSH4%UPI000463D8BF,0.012269136,-0.03570414,-0.009992201,-0.017694948,0.018874967,0.001999834,-0.086728424,-0.010373118,-0.03330127,0.0130683305,0.004517071,0.03453571,0.029071026,-0.034865886,0.07243247,-0.010260701
BSH4%UPI000822CCAE,0.050119773,0.004049585,0.022344682,-0.011413082,-0.026913691,0.046758484,-0.023032293,-0.009865579,0.04919931,-0.0121801905,0.03979477,0.050700925,-0.11186869,-0.08206416,-0.022290954,0.01784456
BSH4%UPI000B375707,-0.010047554,-0.03059571,0.016287412,0.024741737,0.072635435,-0.009464871,0.0058209472,-0.005258632,-0.0332686,-0.0117233265,-0.08319118,0.013533808,0.009660129,-0.009531527,0.0061233817,-0.013487526
BSH4%UPI000E54B9B5,-0.022500308,0.026680674,-0.047345992,-0.0081496565,-0.0029050643,-0.022914989,0.059737314,0.025829144,0.009481325,-0.00094266725,0.06614398,-0.0016719713,0.011712027,0.058703814,-0.0461582,0.045644194
BaiA%QinJ_2012__T2D-016__bin_41_fa_BDDCEIPF_01842__3alpha-hydroxy_bile_acid-CoA-ester_3-dehydrogenase_2,0.026165802,0.018990897,0.0020041768,-0.03913076,-0.03450232,0.03343081,-0.029594356,0.0015985757,-0.006430881,-0.0028872462,0.012953934,0.018287677,-0.012750477,-0.051142152,-0.0049207984,0.015406784
BaiA%SRR3992974_bin_8_EOPEKEED_01051__3-oxoacyl-_acyl-carrier-protein__reductase_FabG,-0.008650464,0.054357186,0.019472439,0.014169932,0.017939596,-0.014564327,-0.015367443,-0.039428234,-0.020606946,-0.02099548,-0.051000614,-0.0018547594,0.057817344,-0.03496202,0.009510643,0.06458483
BaiA%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_861,0.06383142,0.001269376,-0.03788713,-0.067716464,-0.06929691,0.06365971,-0.031910814,-0.10435245,0.06623611,0.02885659,-0.016845245,0.04644951,-0.05787451,-0.06287593,0.0046901675,0.0064228405
BaiA%bai_cluster_3%midas_Clostridium_hylemonae_61789%Clostridium_hylemonae_61789|NZ_GG657759_1098,0.02335546,0.025356162,-0.023148876,-0.03653857,-0.0006699847,0.029162824,-0.03967023,-0.023362856,0.0062799715,-0.051239878,-0.008283141,0.008657885,-0.018429229,-0.045765754,0.050569717,-0.024976918
BaiB%CosteaPI_2017__SID713A038-11-90-0__bin_26_fa_FGHNBBEK_00429__Bile_acid-coenzyme_A_ligase,-0.012240882,-0.040489566,0.054325756,0.07594897,0.0568693,-0.011875854,-0.023350488,-0.00510673,-0.011781285,0.010738764,0.025672216,-0.024466569,-0.011907277,-0.012569541,-0.036293842,-0.013966893
BaiB%MDY5565236_1_bile_acid--CoA_ligase_BaiB__Candidatus_Limivicinus_sp__,-0.033772785,-0.057679433,-0.030241463,-0.03697853,0.005782901,-0.023745883,0.03776087,0.06195094,0.0063869436,0.045073617,-0.0021499246,-0.053769372,0.049686417,-0.015412531,0.009379058,-0.042274293
BaiB%Obregon-TitoAJ_2015__NO11__bin_28_fa_ODBMCAMJ_01958__Bile_acid-coenzyme_A_ligase,0.04429931,0.06017583,-0.04147601,-0.03597415,-0.036369555,0.038828626,-0.0018981067,0.044657707,0.041561127,0.033473987,-0.08841175,0.03240781,-0.0757469,-0.015440971,-0.028963802,-0.029754445
BaiB%WP_286151641_1_bile_acid--CoA_ligase_BaiB__Sporofaciens_musculi_,0.00948357,0.034803804,-0.029618964,-0.01046257,-0.03766825,0.0076567675,-0.017399823,-0.09469693,0.06570572,0.035506513,0.0021527477,-0.007850019,-0.028759496,0.024564197,0.021985251,0.00760983
BaiB%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3065,0.056576356,-0.0024633307,-0.016940437,-0.032140158,-0.049569946,0.05565143,-0.04733233,-0.06674415,0.04080399,-0.023882434,-0.002743347,0.037956666,-0.020646123,-0.08120615,0.036529243,-0.005881443
BaiB%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_871,0.030072575,0.071884505,-0.05824981,-0.07633498,-0.04046145,0.06362753,-0.059115995,-0.04060887,0.0425494,-0.10285392,-0.050051127,0.05727666,-0.014533701,-0.028022446,0.114344485,-0.0306568
BaiCD%HIT29267_1_FAD-dependent_oxidoreductase__Candidatus_Scatomorpha_stercoravium_,0.02672246,0.051351212,-0.0011669695,0.0093743345,-0.031123841,0.03186482,-0.00067354296,0.022644246,-0.020944662,-0.0012818392,-0.10010978,0.035152376,-0.01354057,-0.042007633,-0.01973333,0.0120665915
BaiCD%MCI8583944_1_FAD-dependent_oxidoreductase__Dorea_sp__,-0.04155025,0.00020459987,-0.030666,-0.006262027,0.032755803,-0.03651732,0.05180253,0.100855544,0.004225228,0.01641173,-0.04508924,-0.029963603,0.0076420396,-0.000514953,-0.028817527,-0.04092877
BaiCD%MEI3381486_1_FAD-dependent_oxidoreductase__Dorea_sp__,0.05691193,0.05249275,-0.04358321,-0.059004698,-0.08260452,0.06919247,-0.028660743,-0.013581952,0.07501832,-0.035446644,-0.01822658,0.050587825,-0.083024256,-0.01588911,-0.009556816,-0.041468106
BaiCD%XieH_2016__YSZC12003_35390__bin_5_fa_PIKIEFGP_00577__NADH_oxidase,-0.0047543747,-0.04226698,0.0105796205,0.010027303,0.012703256,-0.00091078115,0.0115797045,0.069756545,-0.046426214,0.08498199,0.01149518,0.03501276,-0.028032547,0.047193676,-0.061069492,0.044037092
BaiCD%bai_cluster_1%midas_Clostridium_hiranonis_61655%Clostridium_hiranonis_61655|NZ_DS995354_290,-0.0030823722,-0.016723959,0.0104161855,0.0034541476,0.016557831,0.011529305,-0.04611564,-0.032759678,-0.00504862,-0.04537151,0.021473167,-0.004647071,-0.010591264,-0.0206716,0.046589017,-0.01428289
BaiCD%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3076,0.041339315,0.0010527156,-0.009811244,-0.0314905,-0.033128653,0.044798866,-0.045335997,-0.034764275,0.059077207,-0.021361535,0.013166488,0.02144035,-0.04764465,-0.037450336,0.03163023,-0.017456599
BaiE%FengQ_2015__SID531416__bin_49_fa_CEDOFBAM_00064__Bile_acid_7-alpha_dehydratase,0.01721745,0.025209997,0.046363488,-0.003330197,-0.028660085,0.036028158,-0.008257305,0.020282209,0.025093269,-0.057022434,0.038621753,0.018515794,-0.09807203,0.03954871,-0.059904035,-0.008340822
BaiE%LiJ_2017__H3M515915__bin_8_fa_COLEEGFP_01274__Bile_acid_7-alpha_dehydratase,-0.023321364,-0.022612922,0.030030288,0.06753129,0.029554795,-0.019780641,-0.014309712,-0.0071925614,-0.038866755,0.009236238,0.035551127,0.0023960888,-0.04965649,0.046528753,-0.072381504,0.06459952
BaiE%MCI8938768_1_nuclear_transport_factor_2_family_protein__Dorea_sp__,0.01728968,-0.026939485,0.04723399,0.06678711,-0.012822675,0.014653982,-0.0008459462,-0.054993838,0.058138885,0.04682303,0.08913332,0.010861967,-0.039824173,-0.089815445,-0.020839319,0.026355172
BaiE%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_166,0.034541044,0.0011087793,-0.0013383251,-0.03672606,0.0016123564,0.042343177,-0.023427356,-0.094127916,0.027049644,-0.06922287,-0.030671503,0.031061409,0.01717915,-0.06270856,0.09989183,0.012808871
BaiE%fig|1950888_3_peg_203|__Bile_acid_7-alpha_dehydratase_(EC_4_2_1_106)_(BA7_alpha_dehydratase)_(Bile_acid-inducible_operon_protein_E)____Clostridiales_bacterium_UBA4701_|_1950888_3_,0.0037841303,-0.011561886,-0.01495512,-0.006468584,0.0017610122,0.01981876,0.0002757326,-0.010205523,0.024279108,-0.017074862,-0.030004928,0.017730914,-0.000755974,-0.058195785,0.055737175,-0.06091639
BaiF%LiJ_2014__MH0358__bin_56_fa_NPCPOAJM_00305__Bile_acid-CoA_transferase,0.016523091,0.045292925,-0.013789567,-0.03721323,-0.05577707,0.023444379,-0.010664037,-0.009110486,0.049734697,-0.047907587,-0.0143513195,0.02508223,-0.03124043,-0.07984162,0.02689627,0.052211042
BaiF%Obregon-TitoAJ_2015__NO11__bin_28_fa_ODBMCAMJ_01956__Bile_acid-CoA_transferase,0.05244955,0.052802186,-0.049079724,-0.0076657454,-0.030483052,0.041259393,-0.043249417,-0.049118534,0.019918436,-0.016438244,-0.039265964,0.040213887,-0.015577035,-0.01547627,-0.01640497,0.0033118615
BaiF%RaymondF_2016__P21E7__bin_22_fa_DDJCLBHB_00373__Bile_acid-CoA_transferase,0.051985107,0.032841668,-0.016028726,0.04988657,0.03252845,0.030981133,-0.07095713,0.023184115,0.034358185,0.026428513,-0.03252132,0.023961833,-0.09375832,-0.016882729,-0.025113184,-0.06325903
BaiF%SRR4783510_bin_28_GHBMCCFK_00008__L-carnitine_CoA-transferase,0.039586514,0.012509878,-0.059572652,-0.034561336,-0.038599085,0.040488854,0.010990817,-0.027468435,0.022817222,-0.057911463,-0.031674422,0.045970254,0.03119943,-0.00036083802,0.041991077,-0.06438598
BaiF%SRR5127813_bin_22_DKEDJIEF_00985__Bile_acid-CoA_transferase,0.006897931,-0.06693076,0.06331575,0.014114585,-0.015223563,0.0015426155,-0.050720297,-0.07255011,0.021511825,0.041626338,0.04258215,-0.009179626,-0.024428038,-0.041362375,0.002595313,0.071178176
BaiF%bai_cluster_17%midas_Proteocatella_sphenisci_59007%Proteocatella_sphenisci_59007|AUID01000012_911,0.02787527,-0.020585725,-0.047248904,-0.014989163,0.0035762896,0.038133193,-0.029382901,0.006258111,0.042542044,-0.03680491,0.02951064,0.04320092,-0.074536026,-0.039930772,-0.023101961,0.024980426
BaiF%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_892,0.044052888,0.06509097,-0.084892295,-0.05989543,-0.049092844,0.05594168,-0.03942503,-0.010302765,0.029322028,-0.06551125,-0.043150898,0.04227657,-0.019690724,-0.002931596,0.048813425,-0.02111398
BaiF%bai_cluster_3%midas_Clostridium_hylemonae_61789%Dorea_sp_89094|KQ236743_10986,0.031039502,-0.0012539935,-0.009810843,-0.008890404,-0.0011793646,0.035824373,-0.04411152,0.006716521,0.0057966597,-0.045723204,-0.06277931,0.018023113,-0.021711089,-0.018834796,0.031623617,-0.04989629
