Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,HCA,LCA,TCA,TCDCA,TDCA,UDCA
BSH2%UPI000821FD65,-0.110020496,-0.5602636,0.9545626,1.0,0.5948163,-0.11743632,-0.2642185,-1.0,-0.09397407,-0.67396665,-0.0543927,-0.48141536,0.6374059,-0.06473603,1.0,0.07148592
BSH2%UPI0008221FCC,-0.5029719,-1.0,0.44748315,0.38255832,0.8687929,-0.29621556,-1.0,-0.6442941,-0.6092466,-0.060307473,0.08254632,-0.60126615,1.0,0.04003756,0.7488759,0.31514192
BSH2%UPI0008222B5A,0.051279895,-1.0,1.0,0.89879614,-0.10167045,-0.11021142,0.8062949,0.71146077,-0.88496435,0.30811903,0.3717833,0.1795469,0.28840145,1.0,-1.0,-0.16702315
BSH2%UPI000822F9A5,-0.34071574,0.4319394,1.0,0.47280866,0.91320974,-0.5471487,-0.43520436,1.0,-1.0,0.22848979,0.71443236,-0.42172983,-0.38707453,0.50708497,-1.0,0.43354556
BSH2%UPI0008E59C2D,0.31897062,0.11575999,-0.7844473,-0.568528,0.08986131,0.51462156,0.20207135,0.1329698,-0.43486154,-1.0,-0.22874448,0.6169123,0.107148804,0.12550664,1.0,-0.53036946
BSH2%UPI00095B7069,0.6062768,-0.40994248,0.29335117,-0.43529204,-0.47702324,0.38530946,-0.15343007,0.36504272,1.0,-0.080080844,0.685698,0.7295667,-1.0,-0.4987366,-1.0,0.34563982
BSH2%UPI000960BD65,0.017322041,0.06959191,-0.48062116,-0.61470866,-0.15223843,0.0066510765,-1.0,-1.0,0.21704882,0.35445642,1.0,0.23312137,0.54622227,-0.59751105,0.6527897,0.22584356
BSH2%UPI0009611255,-0.47439244,-0.5805843,-1.0,0.43291575,0.4039378,-0.47621226,1.0,1.0,-0.25416237,0.15226947,-0.47558472,0.045301046,0.38159534,1.0,-1.0,-1.0
BSH2%UPI000961A2BF,0.586421,0.79047966,-1.0,-0.31473017,-0.11471361,0.5294211,-0.14038779,-1.0,0.89746153,-0.3115737,1.0,0.45127028,-0.746216,-0.6760854,0.7879156,0.700325
BSH2%UPI000965B48B,-1.0,-0.458992,0.9062819,0.4648411,0.940082,-1.0,0.6784328,0.744783,-0.6611698,1.0,0.7065696,-1.0,0.6744788,0.7588614,0.027673004,0.79921114
BSH2%UPI00096829BD,-0.09101347,-0.24152909,1.0,0.93978226,0.23998779,-0.16915122,0.43909344,0.46402878,-0.018188983,0.4811667,-0.73707265,-0.85461986,-1.0,0.19107231,-0.20955592,-0.35793895
BSH2%UPI000D6581CE,0.63884324,-0.78537387,-0.55529493,-0.8492348,-0.4439253,0.301082,-0.15221585,-1.0,0.7772884,-0.32091781,-1.0,-0.05046668,1.0,-0.4587162,1.0,-1.0
BSH2%UPI000D7A6AEA,-0.34419197,-0.2942055,-0.1655406,0.4143602,1.0,-0.19709294,-1.0,-1.0,-0.9995494,0.6465577,0.8299374,-0.6394399,-0.07251811,-0.55139,1.0,1.0
BSH2%UPI000D7ABA35,-0.010980988,0.29527178,-0.04909442,0.6433283,0.13598889,-0.14772487,1.0,0.08904691,-0.20639236,0.06062574,-0.21148121,-0.21666615,0.63358825,-0.27554843,-0.39327124,0.0054632504
BSH2%UPI000D7ADB68,-0.15374616,-0.27926284,-0.32749167,0.33584532,0.087027475,-0.33758938,0.8435785,0.628998,-0.0011922999,0.6191162,-0.4010929,0.06870562,0.5571083,-0.01762374,-0.6497674,-1.0
BSH2%UPI000D7AF0AB,-0.4060572,1.0,-0.29519942,-0.22505815,0.19105929,-0.18316403,-1.0,0.008096969,0.2172035,-0.12750334,-0.29722267,-0.38875422,-0.22795054,0.4317657,0.6200278,-0.4956417
BSH2%UPI000DF74F5E,0.46209168,-1.0,0.066918686,0.054811914,-0.4809483,0.30437562,-0.79705834,-0.15067016,0.6673049,1.0,0.20486282,0.053745065,-0.43899155,-0.7545379,0.27377045,-0.19505967
BSH2%UPI000DF7AEC4,-0.28972927,0.33463603,-0.1719859,0.47260448,0.16863152,-0.059681695,-0.032933977,-1.0,0.016309906,0.019686352,0.4783246,-0.4207265,1.0,-0.753607,1.0,-0.7634411
BSH2%UPI000DF86417,-0.19034928,0.014504632,0.5956174,0.39663342,0.19583587,-0.26233968,0.7279082,0.45326152,-0.41667873,1.0,0.6069333,-0.101156436,-0.1588953,-0.6655863,-0.5585012,-0.7335216
BSH2%UPI000E40484B,0.47953808,1.0,-0.063391745,-0.5304729,-0.82133317,0.44596976,-0.36008722,-0.6739677,0.9633985,-0.9109186,-0.6481264,0.6633373,-0.18526341,-0.17734239,0.7727108,-1.0
BSH2%UPI000E466DA6,-0.5779397,0.96925896,-0.19294558,-0.31906328,0.58262664,-0.43220627,0.11375463,1.0,-0.3064849,1.0,1.0,-0.32680973,-0.4476001,0.30828363,-0.8739628,0.5160232
BSH2%UPI000E4BF981,0.54340994,0.6909033,-0.423437,-0.780925,-0.07466786,0.46079376,-0.98233616,-0.93390983,0.12531672,-0.049398523,-0.1776777,-0.12839821,0.12711483,-0.0043964665,0.26592794,0.5396662
BSH2%UPI000E4E4D64,-0.39141482,0.5394732,0.30336085,0.5686993,0.7880979,-0.57937014,1.0,0.96946454,-0.62841,-0.10738145,0.6046904,0.14633158,-0.66668105,-0.008557548,-0.94003606,0.07245948
BSH2%UPI000E53BC4B,-0.2255095,0.9163124,0.6591737,0.67174464,1.0,-0.3723884,-1.0,-0.6544759,0.18099225,-1.0,1.0,-0.03689678,0.61683095,-0.124489136,-0.97367936,0.8218157
BSH2%UPI000E53DAEE,-0.5852268,-1.0,-0.032136273,0.22860113,0.7546917,-0.7078892,-0.27305526,-1.0,-0.7584218,0.55014294,-0.32844257,-1.0,1.0,1.0,0.27315456,0.5813289
BSH2%UPI000E80FD85,-0.8225143,-0.89875996,0.8632363,0.7411842,0.80835336,-1.0,1.0,1.0,-0.8167652,-0.44177073,0.6209851,-1.0,0.050034568,0.3953949,-0.92170364,1.0
BSH2%UPI000E8B2418,0.6195346,0.7515411,-0.86181206,-0.7262534,-0.80551064,0.5600707,-0.9298246,-0.7427544,-0.070865765,-0.08220697,-0.31487122,0.7106645,0.25677413,0.30009422,0.3371487,0.95161384
BSH2%UPI000E8E16B0,0.36921468,-0.31287637,-1.0,-0.6921121,-0.25176275,0.2687071,0.4971445,0.09755492,1.0,0.26804036,-0.43147346,0.026299909,0.01384078,-0.1422218,0.48359537,-0.99690336
BSH2%UPI000E91045C,-0.018095234,0.015423327,-0.37834156,-0.76131743,-0.15212914,0.20775613,-0.03073531,0.007466154,0.35506386,0.85162276,0.8804299,0.11835477,0.08297609,-0.5068327,0.7407782,-0.17731188
BSH2%UPI000EC98B2C,-0.6715055,-0.86498,0.6074649,1.0,1.0,-0.64372104,0.96696126,0.8007512,-0.4451572,1.0,0.22188975,-0.11043501,-0.4148552,-0.5587069,-0.91097355,0.39736843
BSH2%UPI000EE4CDBB,-0.42856732,-0.35677245,-1.0,-0.8756475,0.0035673925,-0.13253045,-0.22754419,0.011288295,0.014172264,-0.055785023,-0.46376622,-0.082381085,0.96512884,0.7917465,0.7760238,-0.79086787
BSH3%UPI00016547A5,1.0,0.47726604,-0.59809536,-0.71280926,-1.0,1.0,-0.9041661,-0.36503643,1.0,-1.0,0.35269427,1.0,-1.0,-0.87567544,-0.13946648,-0.01962213
BSH3%UPI00017EF3F1,0.36994046,-0.23032358,0.30967197,0.0034544764,-0.16903943,0.4092822,0.18461303,0.02574716,-0.14938906,0.0018221055,-0.42511696,1.0,-0.80870575,-0.34672478,-1.0,-0.2595044
BSH3%UPI0001A5F983,-1.0,-0.8247273,0.032180484,-0.31593072,0.8415991,-1.0,1.0,1.0,-0.65733606,1.0,0.026880413,-1.0,1.0,0.7587508,0.2003385,-0.5831426
